,chainId,blockNumber,blockHash,transactionIndex,hash,log_index,nonce,from,to,token,token_address,value,price,value_usd,gas,gasPrice,gasUsed,maxFeePerGas,maxPriorityFeePerGas,type,callType,traceAddress,subtraces,output,error,result,address,code,init,r,s,v,input
0,1,15950923,0xeeba0a38423476f8ac883343a9efba35d0a9031e85df32157f753a9ad4eb95d2,56,0x6580bf69c1ee28a1d8a4dec9b949272a449b1c58d91e6692ef34d9ea40fd9653,,,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,9500,1278.704667729999982839,12147694.343434999836970500,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x
1,1,15950929,,89,0x885235d062281fe6505a964d9824173dd218f485f735e8d5c5f92e865b251a50,164.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,26169500,1.000000000000000000,26169500.000000000000000000,,,,,,,,,,,,,,,,,,,
4,1,15950931,,87,0x59b541120912f230d5828e28bfc80650d319269e88114b455b292fa5684f1dc0,201.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,stETH,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,34740.082357919214526118,1262.319999999999936335,43853100.762048580668881930,,,,,,,,,,,,,,,,,,,
7,1,15950934,,61,0x5501f92b6a8c17803ec6b4dd714ee99ed785c084b9e079b42a82737f5e15ad36,57.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,3589637.032879411092955609,6.919999999999999929,24840288.267525524508388585,,,,,,,,,,,,,,,,,,,
10,1,15950937,,79,0x6d21792ad55d768537b444fc07f436941208c4729d65033ebc3d1322a2ec617a,287.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,229473.559020727911576968,62.507336760000001163,14343781.031224375656150791,,,,,,,,,,,,,,,,,,,
13,1,15950938,,53,0xfb5e6d4e007081750b282d27758a79328af2b028c6daff2bf4c87b769ff8dbba,114.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,17012377.442099672429964274,0.550341289999999983,9362613.747452033744473557,,,,,,,,,,,,,,,,,,,
16,1,15950940,,55,0xbf9c0996369285c162e76427e71ee993dc7cd08691542cdd666c708f7f1aaba7,67.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,7707622.438316931417330648,1.000000000000000000,7707622.438316931417330648,,,,,,,,,,,,,,,,,,,
19,1,15950942,,110,0x382641c0f18765596eafa82818a8902888862601b6ba335d4c4f5e5d9d57d4a6,75.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,1860440.683412096592422316,5.936665529999999968,11044814.075822236565729921,,,,,,,,,,,,,,,,,,,
22,1,15950945,,78,0xf8a19673dc2221a0e1441ebd4cddf96e4f1cf81a45629ab0feb2b6c23c406c70,152.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,cUSDT,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,605991574.35019235,0.022025868660492397,13347490.826002349980072063,,,,,,,,,,,,,,,,,,,
25,1,15950949,,47,0x9f1da8b16f530467fbb7129e99ceff99b24237df97599a675e9d9aa5fc7630ae,64.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,332.618567243543901952,6345.050815130000046338,2110481.711216020967723358,,,,,,,,,,,,,,,,,,,
